Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
11/26/2013,Portland,10.5,25.3,0,6.4,10.1,NE,26,E,E,7,11,82,70,1013.6,1012.4,NA,2,15.5,23.7,No
11/27/2013,Portland,12.8,31.3,0,6.2,10.6,W,41,E,E,2,17,49,60,1012,1007.9,NA,NA,22.5,25.2,No
11/28/2013,Portland,13.5,15.9,0,7.4,3.2,WNW,44,WSW,SW,20,24,90,82,1008.8,1010.2,8,8,14.5,15.1,No
11/29/2013,Portland,11.6,15.6,0.4,2.8,10.1,S,35,SSE,S,22,17,76,59,1018,1020,8,6,13.2,14.8,No
11/30/2013,Portland,11.2,18,0,4.4,13,SE,33,ESE,ESE,13,17,70,66,1022.9,1021,8,NA,13.4,16.5,No
12/1/2013,Portland,8.6,27.9,0,5.4,5.1,NNW,50,NNE,NNW,20,26,64,32,1017.3,1013.3,NA,NA,17.7,27.8,No
12/2/2013,Portland,11.7,21.9,0,6.6,13.3,NW,35,SSE,S,6,15,74,80,1015.4,1013.9,NA,NA,18.6,18.8,No
12/3/2013,Portland,10.3,20.8,0,4.8,8.9,ENE,48,NW,S,4,13,88,74,1012.2,1008.9,8,NA,13.9,17.6,No
12/4/2013,Portland,13,16.9,8.4,5.6,8.9,W,48,WSW,W,26,30,73,61,1003.5,1003.8,8,1,14.5,15.6,Yes
12/5/2013,Portland,8.9,14.4,4.8,4.6,8.3,SW,54,SW,SSW,28,26,77,64,1005.6,1010,8,8,10.1,13,Yes
12/6/2013,Portland,7,17.4,3,4.2,8.1,WSW,31,SSW,SW,13,13,76,66,1018.4,1019.4,8,8,12.5,15.3,Yes
12/7/2013,Portland,9.3,22.5,0,4.2,12.4,ESE,26,N,SSE,9,13,93,67,1020.5,1018,8,NA,14.5,18.7,No
12/8/2013,Portland,12.8,25.9,0,9.6,5.3,W,50,N,WSW,30,28,43,81,1006.5,1007.3,2,NA,21.7,19,No
12/9/2013,Portland,12.5,16.9,0,4,8.5,W,83,WSW,W,17,33,74,72,1005.8,1004,8,8,14,14.7,No
12/10/2013,Portland,9.6,16.3,5.6,5.8,10,WSW,69,WSW,WNW,31,43,81,69,1007.1,1007.8,7,NA,11.1,15.6,Yes
12/11/2013,Portland,11.1,17.1,2.2,4,10.2,WSW,65,WSW,W,30,28,94,71,1008.9,1011.5,8,7,13.2,16.2,Yes
12/12/2013,Portland,11.5,16.9,0.2,6.6,3.6,WNW,52,W,WNW,28,31,78,75,1011.9,1012.4,8,8,13.7,15.8,No
12/13/2013,Portland,13.1,17.3,2,3,4.2,WNW,48,WNW,SW,24,24,98,92,1013.8,1015.8,8,8,14.4,14.2,Yes
12/14/2013,Portland,11.4,17,1,3,9.9,WSW,41,SW,WSW,13,15,63,64,1021.8,1021.4,8,7,13.6,16.4,No
